MaterialApl;ApplicationORG;ShareSectorApl;SectorAplMatORG;ValorAnadidoSector;SectorAplicacion;GrupoAplicacion
Magnesite;Agriculture (2 of 2);0,07;C10 - Manufacture of food products;155,88;C10-food prods. ;Agriculture
Magnesite;Ceramics;0,05;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Magnesite;Glass making;0,03;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Magnesite;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Magnesium;Transportation (Automotive);0,50;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Magnesium;Packaging;0,21;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Packaging
Magnesium;Desulfurisation agent;0,12;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Magnesium;Construction;0,13;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Magnesium;Transportation (Air, Marine, Train);0,04;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (all)
Magnesium;Other applications;0,00;Z99-Others;0,00;Z99-Others**;Others
Manganese;Steel (construction);0,25;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Manganese;Steel (automotive);0,14;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Manganese;Steel (mechanical engineering);0,13;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Manganese;Steel (structural steelworks);0,11;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Manganese;Steel (tubes);0,10;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Industry
Manganese;Steel (metalware);0,10;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Industry
Manganese;Non-steel alloys;0,06;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Alloys
Manganese;Chemical manufacture;0,05;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Manganese;Steel (domestic appliances);0,04;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Manganese;Batteries (cathodes);0,02;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Molybdenum;Engineering steels;0,40;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Steels
Molybdenum;Stainless steels;0,23;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Steels
Molybdenum;Chemicals;0,13;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Molybdenum;Foundries;0,08;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Foundry
Molybdenum;Tool steels;0,08;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Tool steels
Molybdenum;Mo-Metals;0,06;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Molybdenum;Nickel alloys;0,02;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Natural cork;Wine corks;0,70;C11 - Manufacture of beverages;32,51;C11-beverages ;Foods
Natural cork;Insulation, building materials;0,20;"C16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";27,97;C16-Wood,Cork,Straw,Plaiting-NoFur;Building & roads
Natural cork;General furniture;0,05;C31 - Manufacture of furniture;26,17;C31-furniture ;Furniture
Natural cork;Leisure;0,02;C32-Other manuf.;39,16;C32-Other manuf.**;Leisure
Natural cork;Gaskets, expansion;0,01;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Gaskets, expansion
Natural cork;Gaskets, expansion;0,01;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Gaskets, expansion
Natural cork;Gaskets, expansion;0,01;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Gaskets, expansion
Natural graphite;Refractories for steelmaking;0,53;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Industry
Natural graphite;Foundries;0,15;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Foundry
Natural graphite;Graphite shapes;0,02;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Graphite shapes
Natural graphite;Batteries;0,09;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Natural graphite;Lubricants;0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Lubricants
Natural graphite;Recarburising;0,05;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Natural graphite;Pencils;0,05;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Tools (pencils)
Natural graphite;Friction products;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Friction products
Natural Rubber;Automotive;0,75;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Natural Rubber;Other transport equipment;0,14;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (automotive)
Natural Rubber;Machinery and offshore;0,06;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Machinery
Natural Rubber;Furniture;0,02;C31 - Manufacture of furniture;26,17;C31-furniture ;Furniture
Natural Rubber;Packaging;0,01;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Packaging
Natural Rubber;Household appliances;0,01;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Natural Rubber;Sportswear;0,01;C32-Other manuf.;39,16;C32-Other manuf.**;Wear
Natural Teak wood;Yachts, sailing boats;0,90;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (Boats)
Natural Teak wood;High end furniture;0,10;C31 - Manufacture of furniture;26,17;C31-furniture ;Furniture
Neodymium;Magnets;0,41;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Neodymium;Batteries;0,14;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Neodymium;Metal (no Battery);0,13;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Neodymium;Ceramics;0,12;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Neodymium;Glass;0,09;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Neodymium;Catalysts;0,07;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Neodymium;Lasers;0,03;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Neodymium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Nickel;Engineering (Steel);0,39;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Steels
Nickel;Metal goods (Steel);0,21;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Nickel;Transport (Steel);0,19;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (all)
Nickel;Electrical and Electronics (Steel);0,11;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Nickel;Building and construction (Steel);0,10;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Niobium;Automotive (Steel);0,23;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Niobium;Construction (Steel);0,45;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Niobium;Stainless Steel;0,10;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Stainless Steel
Niobium;Oil & Gas;0,17;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Niobium;Special Steel;0,03;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Special Steel
Palladium;Autocatalyst;0,87;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Catalysts
Palladium;Electronics;0,04;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Palladium;Chemical;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Palladium;Dental;0,02;C32-Other manuf.;39,16;C32-Other manuf.**;Others
Palladium;Jewellery;0,02;C32-Other manuf.;39,16;C32-Other manuf.**;Jewelery & others
Palladium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Palladium;Investment;0,00;Z99-Others;0,00;Z99-Others**;Investment
Perlite;Building construction products;0,59;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Perlite;Filter aid;0,24;C11 - Manufacture of beverages;32,51;C11-beverages ;Foods
Perlite;Horticultural aggregate;0,11;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Agriculture
Perlite;Fillers;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Filler, extender, sealant
Phosphate rock;Mineral fertilizer;0,86;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Phosphate rock;Animal feed;0,10;C10 - Manufacture of food products;155,88;C10-food prods. ;Animal feed
Phosphate rock;Detergents, chemicals, food additives;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Phosphorus;Chemicals;0,90;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Phosphorus;Metals;0,01;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Metals-Basics
Phosphorus;Electronics;0,05;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Phosphorus;Agrochemicals;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Platinum;Autocatalyst;0,77;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Catalysts
Platinum;Jewellery;0,10;C32-Other manuf.;39,16;C32-Other manuf.**;Jewelery & others
Platinum;Chemical;0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Platinum;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Platinum;Medical and Biomedical;0,04;C32-Other manuf.;39,16;C32-Other manuf.**;Medicine
Platinum;Investment;0,00;Z99-Others;0,00;Z99-Others**;Investment
Platinum;Petroleum;0,02;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Platinum;Electronics;0,01;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Platinum;Glass;0,01;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Potash;Fertiliser;0,92;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Potash;Chemical manufacture;0,08;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Praseodymium;Magnets;0,27;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Praseodymium;Ceramics;0,17;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Praseodymium;Batteries;0,13;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Praseodymium;Metal (no Battery);0,12;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Praseodymium;Catalysts;0,11;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Praseodymium;Polishing powders;0,11;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Praseodymium;Glass;0,09;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Praseodymium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Rhenium;Aerospace;0,83;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (Aerospace)
Rhenium;Catalysts in petroleum industry;0,17;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Rhenium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Rhodium;Autocatalyst;0,84;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Catalysts
Rhodium;Glass;0,10;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Rhodium;Chemical;0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Rhodium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Rhodium;Electronics;0,00;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Ruthenium;Chemical;0,30;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Ruthenium;Electronics;0,48;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Ruthenium;Electrochemical;0,22;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Electrical and Electronics
Ruthenium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Samarium;Magnets;0,97;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Samarium;Medical and optical applications;0,03;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Medicine
Sapele wood;Construction material;0,80;"C16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";27,97;C16-Wood,Cork,Straw,Plaiting-NoFur;Building & roads
Sapele wood;Furniture;0,10;C31 - Manufacture of furniture;26,17;C31-furniture ;Furniture
Sapele wood;Boats;0,10;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Boats
Scandium;Solid Oxide Fuel Cells (SOFCs);0,91;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Scandium;Al-Sc alloys;0,09;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Alloys
Scandium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Selenium;Metallurgy;0,40;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Metals-Basics
Selenium;Glass manufacturing;0,25;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Selenium;Electronics;0,10;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Selenium;Pigments;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Selenium;Agricultural/ biological products;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Selenium;Other Applications;0,05;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Others
Silica sand;Construction and Soil;0,37;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Silica sand;Glass;0,31;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Silica sand;Others;0,16;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Chemicals
Silica sand;Foundry;0,13;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Foundry
Silica sand;Filler, extender and sealant;0,03;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Filler, extender, sealant
Silica sand;Oil field;0,00;B06-Extraction (crude, gas);19,75;B06-Extraction (crude, gas)**;Energy (Oil-Gas)
Silicon metal;Chemical applications;0,54;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Silicon metal;Aluminium alloys;0,38;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Silicon metal;Solar applications;0,06;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Energy (Solar)
Silicon metal;Electronic applications;0,02;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Silver;Jewelery, Silverware, recreative products;0,31;C32-Other manuf.;39,16;C32-Other manuf.**;Jewelery & others
Silver;Paints, oxides, photograph;0,18;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Silver;Automotive;0,08;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Silver;Batteries;0,07;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Silver;Industrial machinery;0,07;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Silver;Other transport equipment;0,07;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (automotive)
Silver;Electronic parts;0,06;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Silver;Glass;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Silver;Parts like bearings;0,06;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Industry
Silver;Medicine;0,04;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Medicine
Strontium;Drilling fluids;0,70;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Mining-Extraction
Strontium;Pyrotechnics and signals;0,09;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Pyrotechnics)
Strontium;Magnets;0,09;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Electrical and Electronics
Strontium;Master alloys;0,03;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Strontium;Pigments and fillers;0,03;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Strontium;Zinc production;0,03;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Strontium;Glass;0,03;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Sulphur;Chemical applications;0,71;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Sulphur;Petroleum refining;0,24;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Sulphur;Metallurgy;0,04;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Sulphur;Paper production;0,01;C17 - Manufacture of paper and paper products;38,91;C17-paper & paper prods. ;Chemicals (Paper)
Talc;Polymer for car industry;0,34;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals (Plastics)
Talc;Paper;0,21;C17 - Manufacture of paper and paper products;38,91;C17-paper & paper prods. ;Chemicals (Paper)
Talc;Paint and Coatings;0,18;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Talc;Feed;0,08;C10 - Manufacture of food products;155,88;C10-food prods. ;Foods
Talc;Building material;0,07;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Talc;Fertilizers;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Talc;Others;0,04;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Chemicals
Talc;Rubber;0,02;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals(Rubber)
Talc;Cosmetics;0,01;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Cosmetics
Talc;Pharmaceuticals;0,01;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Pharmacy
Tantalum;Capacitors;0,40;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Capacitors
Tantalum;Sputtering targets;0,20;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Tantalum;Superalloys;0,14;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Superalloys
Tantalum;Chemicals;0,12;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Tantalum;Carbides;0,10;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Hard materials (tools)
Tantalum;Mill products;0,04;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Industry
Tellurium;Solar power;0,40;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Energy (Solar)
Tellurium;Thermo-electric devices;0,30;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Thermo-electric devices
Tellurium;Metallurgy;0,15;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Metals-Basics
Tellurium;Chemical manufacture;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Tellurium;Rubber vulcanising;0,05;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals(Rubber)
Terbium;Lighting;0,68;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Terbium;Magnets;0,32;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Tin;Solders;0,47;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Tin;Chemicals;0,18;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Tin;Tinplate;0,13;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Tinplate
Tin;Others;0,10;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Chemicals
Tin;Lead acid batteries;0,06;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries (Lead)
Tin;Copper alloys;0,06;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Titanium;Paints;0,54;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Titanium;Polymers;0,24;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals (Plastics)
Titanium;Aerospace;0,08;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (Aerospace)
Titanium;Medical equipment;0,06;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Medicine
Titanium;Automotive;0,03;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Titanium;Hand held objects;0,02;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Metal Prods.
Titanium;Alloys;0,02;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Titanium;Various;0,01;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Pharmacy
Tungsten;Mill and cutting tools;0,33;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Tungsten;Mining and construction tools;0,23;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Tungsten;Other wear tools;0,18;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Tungsten;Catalysts and pigments;0,08;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Tungsten;Lighting and electronic uses;0,06;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Tungsten;High speed steels applications;0,06;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Steels
Tungsten;Aeronautics and energy uses;0,05;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Aeronautics & energy
Tungsten;others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Vanadium;High-strength low-alloy steels (HSLA);0,60;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Steels
Vanadium;Special steel;0,30;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Special Steel
Vanadium;Super alloys for high-end uses;0,03;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Vanadium;Chemicals;0,03;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Vanadium;Cast Iron-rigid structures;0,02;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Cast Iron for rigid structures
Vanadium;Stainless steel;0,01;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Stainless Steel
Vanadium;Energy storage;0,01;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Yttrium;Lighting;0,50;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
